Year,City,Sport,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Skating,"Be_CKL, Willy",AUT,Men,Individual,Silver
1924,Chamonix,Skating,"SZABO-PLANK, Herma",AUT,Women,Individual,Gold
1924,Chamonix,Skating,"BERGER, Alfred",AUT,Men,Pairs,Gold
1924,Chamonix,Skating,"ENGELMANN, Helene",AUT,Women,Pairs,Gold
1924,Chamonix,Bobsleigh,"MORTIAUX, Rene",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,"MULDER, Charles",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,"VAN DEN BROECK, Paul",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,"VERSCHUEREN, Victor",BEL,Men,Four-Man,Bronze
1924,Chamonix,Bobsleigh,"WILLIEMS, Henri",BEL,Men,Four-Man,Bronze
1924,Chamonix,Ice Hockey,"CAMERON, Jack",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"COLLETT, Ernest J.",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MAC CAFFERY, Albert",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MAC MUNN, Harold",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"MUNRO, Duncan",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"RAMSAY, W.-Beattie",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"SLATER, Cyril",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"SMITH, Reginald",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Ice Hockey,"WATSON, Harry",CAN,Men,Ice Hockey,Gold
1924,Chamonix,Biathlon,"BREMER, V.E.",FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,"ESKELINEN, A.",FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,"HIRVONEN, H.",FIN,Men,Military Patrol,Silver
1924,Chamonix,Biathlon,"LAPPALAINEN, Martti",FIN,Men,Military Patrol,Silver
1924,Chamonix,Skating,"JAKOBSSON, Ludowika",FIN,Women,Pairs,Silver
1924,Chamonix,Skating,"JAKOBSSON, Walter",FIN,Men,Pairs,Silver
1924,Chamonix,Skating,"SKUTNABB, Julius",FIN,Men,10000M,Gold
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,10000M,Silver
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,1500M,Gold
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,5000M,Gold
1924,Chamonix,Skating,"SKUTNABB, Julius",FIN,Men,5000M,Silver
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,500M,Bronze
1924,Chamonix,Skating,"SKUTNABB, Julius",FIN,Men,Combined (4 Events),Bronze
1924,Chamonix,Skating,"THUNBERG, Clas",FIN,Men,Combined (4 Events),Gold
1924,Chamonix,Skiing,"NIKU, Tapani",FIN,Men,18KM,Bronze
1924,Chamonix,Biathlon,"BERTHET, G.",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,"MANDRILLON, C.",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,"MANDRILLON, Maurice",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Biathlon,"VANDELLE, Andre",FRA,Men,Military Patrol,Bronze
1924,Chamonix,Curling,"ALDEERT, H.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,"ANDRE, Georges",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,BENEDIC,FRA,Men,Curling,Bronze
1924,Chamonix,Curling,"CANIVET, P.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,"COURNOLLET, F.",FRA,Men,Curling,Bronze
1924,Chamonix,Curling,"PLANQUE, R.",FRA,Men,Curling,Bronze
1924,Chamonix,Skating,"BRUNET, Andree",FRA,Women,Pairs,Bronze
1924,Chamonix,Skating,"BRUNET, Pierre",FRA,Men,Pairs,Bronze
1924,Chamonix,Bobsleigh,"ARNOLD, Thomas",GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,"BROOME, Ralpf",GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,"RICHARDSON, Alexander",GBR,Men,Four-Man,Silver
1924,Chamonix,Bobsleigh,"SOHER, Rodney",GBR,Men,Four-Man,Silver
1924,Chamonix,Curling,"AIKMAN, T.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"ASTLEY, D.-G.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"BROWN, V.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"COUSIN, R.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"JACKSON, V.-K.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"MC LEOD, J.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"MURRAY, T.-B.",GBR,Men,Curling,Gold
1924,Chamonix,Curling,"WELSH, R.",GBR,Men,Curling,Gold
1924,Chamonix,Ice Hockey,"ANDERSON, William",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"BOULDEN, C.-B.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CARR-HARRIS, Louis Howland",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CARRUTHERS, Colin Gordon",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CARRUTHERS, Eric Dudley",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CLARKSON, Guy E.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"CUTHBERT, Ross George",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"HOLMES, George",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"JUKES, Hamilton",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"PATTON, B.-N.",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"PITBLADO, Edward",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Ice Hockey,"SEXTON, Blane Nathaniel",GBR,Men,Ice Hockey,Bronze
1924,Chamonix,Skating,"MUCKELT, Ethel",GBR,Women,Individual,Bronze
